亚东	Yadong
帕里	Pali
普兰	Pulan
仲巴	Zhongba
札达	Zhada
阿里	Ali
狮泉河	Shiquanhe
噶尔	Gaer
日土	Ritu
革吉	Geji
改则	Gaize
吉隆	Jilong
萨嘎	Saga
聂拉木	Nielamu
定日	Dingri
定结	Dingjie
岗巴	Gangba
拉孜	Lazi
昂仁	Angren
萨迦	Sajia
谢通门	Xietongmen
康马	Kangma
白朗	Bailang
日喀则	Rikaze
江孜	Jiangzi
仁布	Renbu
南木林	Nanmulin
申扎	Shenzha
措勤	Cuoqin
尼玛	Nima
塔什库尔干	Tashikuergan
叶城	Yecheng
皮山	Pishan
泽普	Zepu
莎车	Shache
英吉沙	Yingjisha
阿克陶	Aketao
岳普湖	Yuepuhu
麦盖提	Maigaiti
乌恰	Wuqia
疏附	Shufu
疏勒	Shule
喀什	Kashi
阿图什	Atushi
伽师	Jiashi
巴楚	Bachu
阿合奇	Aheqi
和田	Hetian
墨玉	Moyu
洛浦	Luopu
策勒	Cele
于田	Yutian
民丰	Minfeng
塔中	Tazhong
双湖	Shuanghu
且末	Qiemo
若羌	Ruoqiang
柯坪	Keping
阿瓦提	Awati
阿拉尔	Alaer
乌什	Wushi
阿克苏	Akesu
温宿	Wensu
沙雅	Shaya
拜城	Baicheng
新和	Xinhe
库车	Kuche
轮台	Luntai
昭苏	Zhaosu
霍尔果斯	Huoerguosi
察布查尔	Chabuchaer
伊宁	Yining
霍城	Huocheng
伊宁县	Yiningxian
温泉	Wenquan
特克斯	Tekesi
巩留	Gongliu
新源	Xinyuan
巴音布鲁克	Bayinbuluke
尼勒克	Nileke
博乐	Bole
精河	Jinghe
尉犁	Weili
库尔勒	Kuerle
博湖	Bohu
焉耆	Yanqi
铁干里克	Tieganlike
和静	Hejing
巴仑台	Baluntai
和硕	Shuo
小渠子	Xiaoquzi
乌苏	Wusu
奎屯	Kuitunshi
沙湾	Shawan
炮台	Paotai
呼图壁	Hutubi
石河子	Shihezi
玛纳斯	Manasi
乌鲁木齐牧试站	Wulumuqimushizhan
达坂城	Dabancheng
托克逊	Tuokexun
吐鲁番	Tulufan
乌鲁木齐	Wulumuqi
昌吉	Changji
蔡家湖	Caijiahu
米泉	Miquan
五家渠	Wujiaqu
白杨沟	Baiyanggou
天池	Tianchi
阜康	Fukang
吉木萨尔	Jimusaer
奇台	Qitai
阿拉山口	Alashankou
托里	Tuoli
裕民	Yumin
塔城	Tacheng
额敏	Emin
克拉玛依	Kelamayi
白碱滩	Baijiantan
乌尔禾	Wuerhe
莫索湾	Mosuowan
和布克赛尔	Hebukesaier
吉木乃	Jimunai
布尔津	Buerjin
福海	Fuhai
富蕴	Fuyun
哈巴河	Habahe
阿勒泰	Aletai
孟连	Menglian
勐海	Menghai
景洪	Jinghong
西沙	Xisha
勐腊	Mengla
凭祥	Pingxiang
龙州	Longzhou
三亚	Sanya
乐东	Ledong
五指山	Wuzhishan
东方	Dongfang
昌江	Changjiang
白沙	Baisha
儋州	Danzhou
保亭	Baoting
陵水	Lingshui
万宁	Wanning
琼中	Qiongzhong
屯昌	Tunchang
琼海	Qionghai
文昌	Wenchang
临高	Lingao
涠洲岛	Weizhoudao
东兴	Dongxing
宁明	Ningming
崇左	Chongzuo
上思	Shangsi
防城港	Fangchenggang
防城	Fangcheng
北海	Beihai
合浦	Hepu
钦州	Qinzhou
灵山	Lingshan
浦北	Pubei
澄迈	Chengmai
定安	Dingan
海口	Haikou
徐闻	Xuwen
雷州	Leizhou
麻章	Mazhang
湛江	Zhanjiang
赤坎	Chikan
遂溪	Suixi
廉江	Lianjiang
霞山	Xiashan
坡头	Potou
吴川	Wuchuan
化州	Huazhou
电白	Dianbai
茂港	Maogang
茂名	Maoming
博白	Bobai
陆川	Luchuan
高州	Gaozhou
信宜	Xinyi
阳西	Yangxi
阳春	Yangchun
阳江	Yangjiang
阳东	Yangdong
恩平	Enping
南沙	Nansha
中沙	Wuzhishan
台山	Taishan
开平	Kaiping
新会	Xinhui
金湾	Jinwan
斗门	Doumen
珠海	Zhuhai
错那	Cuona
瑞丽	Ruili
陇川	Longchuan
盈江	Yingjiang
梁河	Lianghe
西盟	Ximeng
沧源	Cangyuan
镇康	Zhenkang
耿马	Gengma
澜沧	Lancang
普洱	Puer
宁洱	Ninger
双江	Shuangjiang
临沧	Lincang
景谷	Jinggu
镇沅	Zhenyuan
芒市	Mangshi
德宏	Dehong
龙陵	Longling
永德	Yongde
腾冲	Tengchong
施甸	Shidian
昌宁	Changning
保山	Baoshan
凤庆	Fengqing
云县	Yunxian
景东	Jingdong
南涧	Nanjian
巍山	Weishan
六库	Liuku
怒江	Nujiang
泸水	Lushui
永平	Yongping
云龙	Yunlong
兰坪	Lanping
弥渡	Midu
大理	Dali
漾濞	Yangbi
祥云	Xiangyun
姚安	Yaoan
宾川	Binchuan
洱源	Eryuan
剑川	Jianchuan
鹤庆	Heqing
永胜	Yongsheng
福贡	Fugong
维西	Weixi
贡山	Gongshan
中甸	Zhongdian
香格里拉	Xianggelila
丽江	Lijiang
宁蒗	Ninglang
洛扎	Luozha
浪卡子	Langkazi
尼木	Nimu
贡嘎	Gongga
曲水	Qushui
札囊	Zhanang
措美	Cuomei
隆子	Longzi
琼结	Qiongjie
乃东	Naidong
泽当	Zedang
山南	Shannan
桑日	Sangri
曲松	Qusong
加查	Jiacha
堆龙德庆	Duilongdeqing
拉萨	Lasa
达孜	Dazi
林周	Linzhou
当雄	Dangxiong
墨竹工卡	Mozhugongka
朗县	Langxian
米林	Milin
墨脱	Motuo
工布江达	Gongbujiangda
嘉黎	Jiali
林芝	Linzhi
边坝	Bianba
班戈	Bange
那曲	Naqu
安多	Anduo
聂荣	Nierong
比如	Biru
索县	Suoxian
巴青	Baqing
丁青	Dingqing
杂多	Zaduo
